Document Settings
TF	binary
IDF	false
Normalisation	false
Stemming	false

Query Settings
TF	binary
IDF	false
Normalisation	false
Stemming	false

Averages
Precision	0.17156384613883466
Recall	0.686290322580645
Non-interpolated Average Precision	0.46557553932864

1	0.07317073170731707	1	0.17724867724867724
2	0.06451612903225806	1	0.20833333333333331
3	0.6666666666666666	0.5	0.8333333333333333
4	0.041666666666666664	0.5	0.2
5	0.05263157894736842	0.6666666666666666	0.6428571428571428
6	0.1	0.5	0.2
7	0.061224489795918366	0.75	0.0735042735042735
8	0.02702702702702703	1	1
9	0.07692307692307693	0.5	0.3333333333333333
10	0.13793103448275862	0.8	0.1725912975912976
11	0.034482758620689655	0.25	0.08333333333333333
12	0.15625	1	0.40794258373205744
13	0.11428571428571428	0.6666666666666666	0.2610630110630111
14	0	0	NaN
15	0.10256410256410256	0.6666666666666666	0.23434343434343435
16	0.10344827586206896	1	0.18480955600631055
17	0.05555555555555555	1	0.08333333333333334
18	0.15	1	0.9166666666666666
19	0.13793103448275862	0.8	0.24281609195402298
20	0	0	NaN
21	0.6666666666666666	0.8	0.6458333333333333
22	0.25	0.16666666666666666	1
23	0.06666666666666667	1	1
24	0.36363636363636365	0.8888888888888888	0.7865079365079365
25	0.25	0.6666666666666666	0.8333333333333333
26	0	0	NaN
27	0.5588235294117647	0.5757575757575758	0.651241047713009
28	0	0	NaN
29	0.14285714285714285	1	0.2
30	0.36363636363636365	0.4444444444444444	0.4298611111111111
31	0.08333333333333333	0.09090909090909091	0.25
32	0.043478260869565216	1	1
33	0.06060606060606061	0.5	0.325
34	0.0625	0.16666666666666666	0.25
35	0.25	0.375	0.8055555555555555
